code,date,open,high,close,low,volume
hs300,2015-06-05,5254.905,5288.34,5230.552,5104.178,545961216.0
hs300,2015-06-08,5259.408,5370.609,5353.751,5202.595,637313216.0
hs300,2015-06-09,5379.47,5380.426,5317.461,5251.208,570427264.0
hs300,2015-06-10,5254.304,5374.83,5309.112,5209.68,442165664.0
hs300,2015-06-11,5305.141,5329.295,5306.59,5248.163,392338752.0
hs300,2015-06-12,5329.278,5351.648,5335.115,5283.086,430131392.0
hs300,2015-06-15,5354.014,5362.452,5221.167,5207.308,475745696.0
hs300,2015-06-16,5165.025,5204.303,5064.821,5015.265,411675648.0
hs300,2015-06-17,5072.306,5158.367,5138.831,4949.293,397124192.0
hs300,2015-06-18,5107.695,5121.218,4930.549,4926.429,364395808.0
hs300,2015-06-19,4847.057,4910.45,4637.052,4634.691,358104736.0
hs300,2015-06-23,4641.425,4786.955,4786.091,4455.33,365087936.0
hs300,2015-06-24,4811.595,4883.732,4880.126,4744.306,434638720.0
hs300,2015-06-25,4906.242,4919.263,4706.516,4667.224,446135968.0
hs300,2015-06-26,4573.872,4650.186,4336.195,4278.675,446639776.0
hs300,2015-06-29,4446.842,4451.166,4191.549,4000.926,525662496.0
hs300,2015-06-30,4161.067,4475.767,4472.998,4016.013,527045280.0
hs300,2015-07-01,4408.984,4526.127,4253.021,4235.696,431721408.0
hs300,2015-07-02,4287.734,4312.19,4107.996,4000.061,457062208.0
hs300,2015-07-03,4017.202,4164.629,3885.917,3785.902,429300864.0
hs300,2015-07-06,4218.266,4218.266,3998.537,3832.468,648094528.0
hs300,2015-07-07,3877.854,3960.636,3928.003,3743.624,679385024.0
hs300,2015-07-08,3651.06,3762.622,3663.038,3612.254,581467072.0
hs300,2015-07-09,3621.68,3930.264,3897.626,3537.826,503870624.0
hs300,2015-07-10,3916.272,4179.111,4106.556,3887.551,500701792.0
